JDN 2456293.916666667 Vector data from Horizons
Position Vector in AU - x, y, z
Velocity Vector in AU/day - Vx, vY, vZ

Ariel - Uranus
Position ,   1.989001505417827E+01,   2.574751689734757E+00,  -2.493374653977530E-01
Velocity ,  -3.637013582372579E-03,   4.417477636938259E-03,   1.693621924350126E-04
Callisto -  Jupiter
Position ,   1.423869147006650E+00,   4.847129920058535E+00,  -5.238234398683671E-02
Velocity ,  -2.644989784161959E-03,   3.138146698634161E-03,   2.380520606001770E-04
Charon - Pluto
Position ,   5.110410891964410E+00,  -3.189546397190421E+01,   1.935543009698224E+00
Velocity ,   3.226821201009621E-03,  -1.011884571814424E-04,  -9.834201416779548E-04
Deimos - Mars
Position ,   1.083785088270845E+00,  -8.614914428592204E-01,  -4.459745108366899E-02
Velocity ,   9.352366333298737E-03,   1.138948785343649E-02,  -9.968691833068620E-05
Dione - Saturn
Position ,  -8.077251190589603E+00,  -5.516870781231971E+00,   4.175020173728238E-01
Velocity ,   3.240767373303955E-03,   4.949842859437690E-04,  -2.746986094665050E-03
Earth
Position ,  -1.871800261595378E-01,   9.653120374833664E-01,  -2.638997640600971E-05
Velocity ,  -1.716620007527679E-02,  -3.333367933796846E-03,   8.204833519198413E-08
Enceladus - Saturn
Position ,  -8.080409337547458E+00,  -5.517875595574542E+00,   4.183349559830369E-01
Velocity ,   9.429373986275575E-03,  -7.555573330264797E-03,   8.684629717316956E-04
Europa - Jupiter
Position ,   1.425228495203235E+00,   4.856332685867420E+00,  -5.211692280392653E-02
Velocity ,  -1.464459876291738E-03,   7.923440272822590E-03,   4.512972491679311E-04
Ganymede - Jupiter
Position ,   1.417220623152299E+00,   4.864727577113287E+00,  -5.187905188519301E-02
Velocity ,  -1.184412937361278E-02,  -1.885569878822130E-03,  -6.820702802178606E-05
Hyperion - Saturn
Position ,  -8.084780531449100E+00,  -5.509670746237559E+00,   4.146323053278283E-01
Velocity ,   1.799015161984974E-04,  -6.062697854855415E-03,   9.531956637426472E-04
Iapetus - Saturn
Position ,  -8.103378086813759E+00,  -5.511490209665679E+00,   4.211667182722852E-01
Velocity ,   2.510387854820509E-03,  -6.362480078660655E-03,   4.394272314363523E-04
Io - Jupiter
Position ,   1.420395259696884E+00,   4.861731328374537E+00,  -5.195620347687080E-02
Velocity ,  -1.500953786491513E-02,  -4.010443779120718E-03,  -1.957858413687209E-04
Jupiter
Position ,   1.422209529126623E+00,   4.859589010918406E+00,  -5.200801865188909E-02
Velocity ,  -7.339950028383696E-03,   2.481127944686398E-03,   1.539712539817701E-04
Mars
Position ,   1.083924358553313E+00,  -8.614598897741291E-01,  -4.466229952634253E-02
Velocity ,   9.239206088540756E-03,   1.215090268081813E-02,   2.773513974662527E-05
Mercury
Position ,  -1.600463205843390E-01,  -4.368130690761088E-01,  -2.100554647926562E-02
Velocity ,   2.076295667191926E-02,  -8.286683485025734E-03,  -2.582128353001238E-03
Mimas - Saturn
Position ,  -8.079359941384837E+00,  -5.517647336209463E+00,   4.181434720292878E-01
Velocity ,   1.068379659975165E-02,  -2.379830745870904E-03,  -1.807548160714397E-03
Miranda - Uranus
Position ,   1.989067163615080E+01,   2.574734296223280E+00,  -2.487125824404577E-01
Velocity ,  -3.344406723926165E-03,   4.222060292114355E-03,  -2.581673929504905E-03
Moon - Earth
Position ,  -1.893468976031359E-01,   9.667840380128840E-01,  -2.618386511514904E-04
Velocity ,  -1.747075143324419E-02,  -3.823724904572793E-03,   3.164918814766048E-06
Neptune
Position ,   2.656143186526385E+01,  -1.392200547016040E+01,  -3.253158888692534E-01
Velocity ,   1.430122972667035E-03,   2.799875611635999E-03,  -9.052503478145336E-05
Nereid - Neptune
Position ,   2.654993689724782E+01,  -1.387485531576866E+01,  -3.228048374293369E-01
Velocity ,   1.193129795769974E-03,   2.405409025551065E-03,  -1.308448810585005E-04
Oberon - Uranus
Position ,   1.989123403656971E+01,   2.574142179256648E+00,  -2.517305099169264E-01
Velocity ,  -2.238858761364097E-03,   4.005134062623951E-03,  -5.622416378165609E-04
Phobos - Mars
Position ,   1.083938582903171E+00,  -8.615192257872981E-01,  -4.467345334001705E-02
Velocity ,   1.032415857362504E-02,   1.251838966343293E-02,  -4.658194435398562E-04
Pluto
Position ,   5.110363812298293E+00,  -3.189556129134836E+01,   1.935469045371270E+00
Velocity ,   3.144239376285210E-03,  -1.325376325405255E-04,  -8.895966111777773E-04
Proteus  - Neptune
Position ,   2.656175201692605E+01,  -1.392129892510714E+01,  -3.251888559611671E-01
Velocity ,  -2.259896275113800E-03,   4.109641278385799E-03,   1.927275043368201E-03
Rhea  - Saturn
Position ,  -8.080107767925632E+00,  -5.519713686182803E+00,   4.192437761910073E-01
Velocity ,   7.697808201147027E-03,  -5.244803072609306E-03,  -1.745523828669739E-04
Saturn
Position ,  -8.079753341120863E+00,  -5.516613344583956E+00,   4.176100924832920E-01
Velocity ,   2.838354489857385E-03,  -4.618992115616435E-03,  -3.266871715559843E-05
Sun
Position ,   0.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00
Velocity ,   0.000000000000000E+00,   0.000000000000000E+00,   0.000000000000000E+00
Tethys - Saturn
Position ,  -8.081677669504241E+00,  -5.516193342646527E+00,   4.175746562220326E-01
Velocity ,   1.562035884991101E-03,  -1.020176098355004E-02,   3.157418841122779E-03
Titan - Saturn
Position ,  -8.078020836283745E+00,  -5.509574451445546E+00,   4.138072193302808E-01
Velocity ,  -2.667616145644342E-04,  -3.808053704721556E-03,  -1.439566871587096E-04
Titania -  Uranus
